"","Site","Year","Block","Group","Code","Plot","Genus","Species","Cover","Quadrant"
"1","Knepp",2024,"S","Y","SY222","222","Cirsium","Cirsium_arvense",30,1
"2","Knepp",2024,"S","Y","SY222","222","Ranunculus","Ranunculus_repens",15,1
"3","Knepp",2024,"S","Y","SY222","222","Holcus","Holcus_lanatus",50,1
"4","Knepp",2024,"S","Y","SY222","222","Trifolium","Trifolium_repens",10,1
"5","Knepp",2024,"S","Y","SY222","222","Cerastium","Cerastium_fontanum",5,1
"6","Knepp",2024,"S","Y","SY222","222","Cirsium","Cirsium_palustre",5,1
"7","Knepp",2024,"S","Y","SY222","222","Holcus","Holcus_lanatus",5,1
"8","Knepp",2024,"S","Y","SY222","222","Cirsium","Cirsium_arvense",10,2
"9","Knepp",2024,"S","Y","SY222","222","Ranunculus","Ranunculus_repens",10,2
"10","Knepp",2024,"S","Y","SY222","222","Holcus","Holcus_lanatus",5,2
"11","Knepp",2024,"S","Y","SY222","222","Trifolium","Trifolium_repens",10,2
"12","Knepp",2024,"S","Y","SY222","222","Jacobaea","Jacobaea_vulgaris",5,2
"13","Knepp",2024,"S","Y","SY222","222","Taraxacum","Taraxacum_officinale",1,2
"14","Knepp",2024,"S","Y","SY222","222","Cerastium","Cerastium_fontanum",1,2
"15","Knepp",2024,"S","Y","SY222","222","Agrostis","Agrostis_stolonifera",70,2
"16","Knepp",2024,"S","Y","SY222","222","Geranium","Geranium_dissectum",1,2
"17","Knepp",2024,"S","Y","SY222","222","Cirsium","Cirsium_arvense",30,3
"18","Knepp",2024,"S","Y","SY222","222","Ranunculus","Ranunculus_repens",10,3
"19","Knepp",2024,"S","Y","SY222","222","Holcus","Holcus_lanatus",30,3
"20","Knepp",2024,"S","Y","SY222","222","Taraxacum","Taraxacum_officinale",1,3
"21","Knepp",2024,"S","Y","SY222","222","Trifolium","Trifolium_repens",40,3
"22","Knepp",2024,"S","Y","SY222","222","Jacobaea","Jacobaea_vulgaris",1,3
"23","Knepp",2024,"S","Y","SY222","222","Lapsana","Lapsana_communis",1,3
"24","Knepp",2024,"S","Y","SY222","222","Holcus","Holcus_lanatus",30,3
"25","Knepp",2024,"S","Y","SY222","222","Cirsium","Cirsium_arvense",20,4
"26","Knepp",2024,"S","Y","SY222","222","Ranunculus","Ranunculus_repens",10,4
"27","Knepp",2024,"S","Y","SY222","222","Holcus","Holcus_lanatus",10,4
"28","Knepp",2024,"S","Y","SY222","222","Trifolium","Trifolium_repens",20,4
"29","Knepp",2024,"S","Y","SY222","222","Jacobaea","Jacobaea_vulgaris",20,4
"30","Knepp",2024,"S","Y","SY222","222","Taraxacum","Taraxacum_officinale",1,4
"31","Knepp",2024,"S","Y","SY222","222","Agrostis","Agrostis_stolonifera",50,4
"32","Knepp",2024,"S","Y","SY221","221","Dactylis","Dactylis_glomerata",10,1
"33","Knepp",2024,"S","Y","SY221","221","Holcus","Holcus_lanatus",10,1
"34","Knepp",2024,"S","Y","SY221","221","Bromus","Bromus_hordeaceus",5,1
"35","Knepp",2024,"S","Y","SY221","221","Agrostis","Agrostis_stolonifera",60,1
"36","Knepp",2024,"S","Y","SY221","221","Trifolium","Trifolium_repens",10,1
"37","Knepp",2024,"S","Y","SY221","221","Geranium","Geranium_dissectum",10,1
"38","Knepp",2024,"S","Y","SY221","221","Taraxacum","Taraxacum_officinale",5,1
"39","Knepp",2024,"S","Y","SY221","221","Convolvulus","Convolvulus_arvensis",10,1
"40","Knepp",2024,"S","Y","SY221","221","Lapsana","Lapsana_communis",10,1
"41","Knepp",2024,"S","Y","SY221","221","Prunus","Prunus_spinosa",5,1
"42","Knepp",2024,"S","Y","SY221","221","Dactylis","Dactylis_glomerata",5,2
"43","Knepp",2024,"S","Y","SY221","221","Agrostis","Agrostis_stolonifera",40,2
"44","Knepp",2024,"S","Y","SY221","221","Trifolium","Trifolium_repens",10,2
"45","Knepp",2024,"S","Y","SY221","221","Ranunculus","Ranunculus_repens",40,2
"46","Knepp",2024,"S","Y","SY221","221","Bromus","Bromus_hordeaceus",20,2
"47","Knepp",2024,"S","Y","SY221","221","Taraxacum","Taraxacum_officinale",5,2
"48","Knepp",2024,"S","Y","SY221","221","Convolvulus","Convolvulus_arvensis",5,2
"49","Knepp",2024,"S","Y","SY221","221","Prunus","Prunus_spinosa",1,2
"50","Knepp",2024,"S","Y","SY221","221","Holcus","Holcus_lanatus",10,3
"51","Knepp",2024,"S","Y","SY221","221","Agrostis","Agrostis_stolonifera",70,3
"52","Knepp",2024,"S","Y","SY221","221","Convolvulus","Convolvulus_arvensis",5,3
"53","Knepp",2024,"S","Y","SY221","221","Taraxacum","Taraxacum_officinale",5,3
"54","Knepp",2024,"S","Y","SY221","221","Prunus","Prunus_spinosa",1,3
"55","Knepp",2024,"S","Y","SY221","221","Jacobaea","Jacobaea_aquatica",5,3
"56","Knepp",2024,"S","Y","SY221","221","Dactylis","Dactylis_glomerata",30,4
"57","Knepp",2024,"S","Y","SY221","221","Bromus","Bromus_hordeaceus",10,4
"58","Knepp",2024,"S","Y","SY221","221","Agrostis","Agrostis_stolonifera",70,4
"59","Knepp",2024,"S","Y","SY221","221","Convolvulus","Convolvulus_arvensis",10,4
"60","Knepp",2024,"S","Y","SY221","221","Geranium","Geranium_dissectum",5,4
"61","Knepp",2024,"S","Y","SY221","221","Prunus","Prunus_spinosa",5,4
"62","Knepp",2024,"S","Y","SY221","221","Trifolium","Trifolium_repens",5,4
"63","Knepp",2024,"S","Y","SY221","221","Taraxacum","Taraxacum_officinale",1,4
"64","Knepp",2024,"S","Y","SY223","223","Trifolium","Trifolium_repens",50,1
"65","Knepp",2024,"S","Y","SY223","223","Ranunculus","Ranunculus_repens",30,1
"66","Knepp",2024,"S","Y","SY223","223","Convolvulus","Convolvulus_arvensis",1,1
"67","Knepp",2024,"S","Y","SY223","223","Jacobaea","Jacobaea_vulgaris",20,1
"68","Knepp",2024,"S","Y","SY223","223","Plantago","Plantago_media",1,1
"69","Knepp",2024,"S","Y","SY223","223","Holcus","Holcus_lanatus",5,1
"70","Knepp",2024,"S","Y","SY223","223","Agrostis","Agrostis_stolonifera",30,1
"71","Knepp",2024,"S","Y","SY223","223","Trifolium","Trifolium_repens",30,2
"72","Knepp",2024,"S","Y","SY223","223","Ranunculus","Ranunculus_repens",20,2
"73","Knepp",2024,"S","Y","SY223","223","Jacobaea","Jacobaea_vulgaris",40,2
"74","Knepp",2024,"S","Y","SY223","223","Holcus","Holcus_lanatus",10,2
"75","Knepp",2024,"S","Y","SY223","223","Agrostis","Agrostis_stolonifera",50,2
"76","Knepp",2024,"S","Y","SY223","223","Veronica","Veronica_filiformis",0.5,2
"77","Knepp",2024,"S","Y","SY223","223","Geranium","Geranium_dissectum",1,2
"78","Knepp",2024,"S","Y","SY223","223","Taraxacum","Taraxacum_officinale",5,2
"79","Knepp",2024,"S","Y","SY223","223","Trifolium","Trifolium_repens",20,3
"80","Knepp",2024,"S","Y","SY223","223","Ranunculus","Ranunculus_repens",10,3
"81","Knepp",2024,"S","Y","SY223","223","Jacobaea","Jacobaea_vulgaris",20,3
"82","Knepp",2024,"S","Y","SY223","223","Agrostis","Agrostis_stolonifera",70,3
"83","Knepp",2024,"S","Y","SY223","223","Convolvulus","Convolvulus_arvensis",1,3
"84","Knepp",2024,"S","Y","SY223","223","Holcus","Holcus_lanatus",5,4
"85","Knepp",2024,"S","Y","SY223","223","Trifolium","Trifolium_repens",40,4
"86","Knepp",2024,"S","Y","SY223","223","Jacobaea","Jacobaea_vulgaris",20,4
"87","Knepp",2024,"S","Y","SY223","223","Trifolium","Trifolium_pratense",1,4
"88","Knepp",2024,"S","Y","SY223","223","Convolvulus","Convolvulus_arvensis",1,4
"89","Knepp",2024,"S","Y","SY223","223","Agrostis","Agrostis_stolonifera",50,4
"90","Knepp",2024,"S","Y","SY223","223","Dactylis","Dactylis_glomerata",10,4
"91","Knepp",2024,"S","Y","SY211","211","Ranunculus","Ranunculus_repens",10,1
"92","Knepp",2024,"S","Y","SY211","211","Dactylis","Dactylis_glomerata",10,1
"93","Knepp",2024,"S","Y","SY211","211","Phleum","Phleum_pratense",1,1
"94","Knepp",2024,"S","Y","SY211","211","Agrostis","Agrostis_stolonifera",80,1
"95","Knepp",2024,"S","Y","SY211","211","Ranunculus","Ranunculus_repens",10,2
"96","Knepp",2024,"S","Y","SY211","211","Agrostis","Agrostis_stolonifera",40,2
"97","Knepp",2024,"S","Y","SY211","211","Persicaria","Persicaria_maculosa",10,2
"98","Knepp",2024,"S","Y","SY211","211","Carex","Carex_sylvatica",10,2
"99","Knepp",2024,"S","Y","SY211","211","Juncus","Juncus_effusus",10,2
"100","Knepp",2024,"S","Y","SY211","211","Dactylis","Dactylis_glomerata",5,2
"101","Knepp",2024,"S","Y","SY211","211","Agrostis","Agrostis_stolonifera",60,3
"102","Knepp",2024,"S","Y","SY211","211","Bromus","Bromus_hordeaceus",10,3
"103","Knepp",2024,"S","Y","SY211","211","Agrostis","Agrostis_stolonifera",60,4
"104","Knepp",2024,"S","Y","SY211","211","Bromus","Bromus_hordeaceus",5,4
"105","Knepp",2024,"S","Y","SY211","211","Ranunculus","Ranunculus_repens",25,4
"106","Knepp",2024,"S","X","SX222","222","Holcus","Holcus_lanatus",1,1
"107","Knepp",2024,"S","X","SX222","222","Trifolium","Trifolium_repens",5,1
"108","Knepp",2024,"S","X","SX222","222","Pulicaria","Pulicaria_dysenterica",10,1
"109","Knepp",2024,"S","X","SX222","222","Rubus","Rubus_fruticosus",5,1
"110","Knepp",2024,"S","X","SX222","222","Lapsana","Lapsana_communis",1,1
"111","Knepp",2024,"S","X","SX222","222","Agrostis","Agrostis_stolonifera",70,1
"112","Knepp",2024,"S","X","SX222","222","Prunus","Prunus_spinosa",10,2
"113","Knepp",2024,"S","X","SX222","222","Rubus","Rubus_fruticosus",40,2
"114","Knepp",2024,"S","X","SX222","222","Pulicaria","Pulicaria_dysenterica",15,2
"115","Knepp",2024,"S","X","SX222","222","Ranunculus","Ranunculus_repens",10,2
"116","Knepp",2024,"S","X","SX222","222","Agrostis","Agrostis_stolonifera",30,2
"117","Knepp",2024,"S","X","SX222","222","Holcus","Holcus_lanatus",5,2
"118","Knepp",2024,"S","X","SX222","222","Jacobaea","Jacobaea_vulgaris",5,2
"119","Knepp",2024,"S","X","SX222","222","Agrostis","Agrostis_stolonifera",70,3
"120","Knepp",2024,"S","X","SX222","222","Pulicaria","Pulicaria_dysenterica",10,3
"121","Knepp",2024,"S","X","SX222","222","Ranunculus","Ranunculus_repens",5,3
"122","Knepp",2024,"S","X","SX222","222","Trifolium","Trifolium_repens",5,3
"123","Knepp",2024,"S","X","SX222","222","Rubus","Rubus_fruticosus",1,3
"124","Knepp",2024,"S","X","SX222","222","Agrostis","Agrostis_stolonifera",80,4
"125","Knepp",2024,"S","X","SX222","222","Pulicaria","Pulicaria_dysenterica",10,4
"126","Knepp",2024,"S","X","SX222","222","Prunus","Prunus_spinosa",5,4
"127","Knepp",2024,"S","X","SX222","222","Ranunculus","Ranunculus_repens",5,4
"128","Knepp",2024,"S","X","SX222","222","Lapsana","Lapsana_communis",1,4
"129","Knepp",2024,"S","X","SX222","222","Rubus","Rubus_fruticosus",1,4
"130","Knepp",2024,"S","Y","SY112","112","Pulicaria","Pulicaria_dysenterica",10,1
"131","Knepp",2024,"S","Y","SY112","112","Prunus","Prunus_spinosa",10,1
"132","Knepp",2024,"S","Y","SY112","112","Rubus","Rubus_fruticosus",1,1
"133","Knepp",2024,"S","Y","SY112","112","Jacobaea","Jacobaea_vulgaris",1,1
"134","Knepp",2024,"S","Y","SY112","112","Lotus","Lotus_pedunculatus",5,1
"135","Knepp",2024,"S","Y","SY112","112","Taraxacum","Taraxacum_officinale",1,1
"136","Knepp",2024,"S","Y","SY112","112","Vulpia","Vulpia_myuros",10,1
"137","Knepp",2024,"S","Y","SY112","112","Bromus","Bromus_catharticus",10,1
"138","Knepp",2024,"S","Y","SY112","112","Agrostis","Agrostis_stolonifera",20,1
"139","Knepp",2024,"S","Y","SY112","112","Rubus","Rubus_fruticosus",10,2
"140","Knepp",2024,"S","Y","SY112","112","Pulicaria","Pulicaria_dysenterica",20,2
"141","Knepp",2024,"S","Y","SY112","112","Vulpia","Vulpia_myuros",10,2
"142","Knepp",2024,"S","Y","SY112","112","Bromus","Bromus_catharticus",10,2
"143","Knepp",2024,"S","Y","SY112","112","Holcus","Holcus_lanatus",10,2
